location,present_name,borough,name,desc
Between Ludlow Street and Orchard Street,Rivington Street,Manhattan,Rabbi Yaakov Spiegel Way," Rabbi Yaakov Yitzchak Spiegel (1936-2001) a descendent of several Chasidic dynasties, was the long-time leader of Congregation Shaarai Shomoyim, also known as the Roumanisher Shul, at 89-93 Rivington Street.  Rabbi Spiegel was a strong advocate of education for girls and was active in local civic groups.  The synagogue building, erected as a church about 1857, collapsed in 2006 and was demolished the following year. "
From the west side of Third Avenue to the east side of Park Avenue,East 103rd Street,Manhattan,Rafael Tufiño Way," Rafael Tufiño (1922-2008) a painter and printmaker, was one of Puerto Rico’s most prominent cultural figures. He was a founder of East Harlem’s Taller Boricua and was also influential in the establishment of El Museo del Barrio."
Between Convent Avenue and St. Nicholas Terrace,West 129th Street,Manhattan,Ramona Jennett Way," Ramona Jennett (d. 2009) was president of the 129th St. Block Association, secretary of Community Board 9, and a staff member of New York Hospital’s Intensive Care Unit for Babies for over 40 years.  "
"Bounded by Horatio Street, West 4th Street, and Eighth Avenue.",None,Manhattan,Reggie Fitzgerald Triangle," Reggie Fitzgerald (1929-1995) was a community leader in Greenwich Village. The owner of clothing store on West 4th Street, he was a longtime member and officer of the Horatio Street Association.  He helped organize residents into night patrols in cooperation with the 6th Precinct.  Also active in Community Board 2, he served on its Gay and Lesbian Committee, chaired its Traffic and Transportation Committee, and was an advocate for historic preservation."
the intersection of 122nd Street and Morningside Avenue,none,Manhattan,Rev. Dr. James H. Robinson Avenue," James H. Robinson (1907-1972) founded the Church of the Master in 1938 in a building that had been erected in 1894 as Morningside Presbyterian Church.  He served as its pastor until 1961.  In 1958, he established Operation Crossroads Africa, considered a forerunner of the Peace Corps.  "
At the intersection of 155th Street and Amsterdam Avenue,None,Manhattan,Rev. Dr. Jasper Simmons Place,"  Rev. Dr. Jasper Simmons (1922-2015)  was the longest serving Pastor in the tri-state area.  He was ordained in May 1953 and began his ministry by founding File Chapel Baptist Church on East 124th Street.  As it grew, it relocated to 505 West 155th Street.  He opened a Head Start Program and instituted Thanksgiving Day dinner, which has served the community for over 24 years, a weekly soup kitchen, started in 1995 and serves over 100 people every Thursday and gave many in the area employment.  He was a member of the Baptist Ministers? Conference of Greater New York and Vicinity for 55 years, president of the C.H.A.N.C.E organization for 7 years and Community and Senior Chaplain for the NYS Department of Corrections Prison Ministry.   .(Levine)
"
Between West 144th and West 145th Streets.,Convent Avenue,Manhattan,Rev. Dr. John W. Saunders Place," Reverend Saunders (1868-1961) was the the founder and pastor of the Convent Avenue Baptist Church. Ordained in 1915, he joined the pastorate of Tenth Street Baptist Church in Camden.  In 1927  he left to serve at Walker Memorial Baptist Church, on 132nd Street and Madison Avenue in Manhattan.   He served there for 13 years, leaving the church debt free by 1939. He went on to found th Convent Avenue Baptist Church, which opened on February 15, 1942 with fewer than 500 mebers  By the time of his death it had grown to over 3,000 members."
"At the intersection of West 145th Street Adam Clayton Powell, Jr. Boulevard ",None,Manhattan,"Rev. Dr. Ollie B. Wells, Sr. Square"," Rev. Wells was senior pastor of the Union Baptist Church for 28 years.  Under Rev. Wells’ leadership, the Union Baptist Church provided services to the homeless and destitute, and advocated for affordable housing and the revitalization of Harlem."
Between Broadway and Riverside Drive,West 135th Street,Manhattan,Shona Bailey Place," On Oct 27, 1992 police found Shona Bailey's nude body in the basement of her building on 135th St.  in Harlem.  Aged 21, she had been raped and strangled.  Bailey had graduated from F.H. La Guardia High School and attended  two years at SUNY New Paltz.  An  actress with stage credits, She was slated to appear as an extra in  Spike Lee's ""Malcolm X.""  (POC 1993 v. 1-A p. 376) "
"Generally bounded on the south by Dyckman Street, on the west by the Amtrak ROW, on the north by the Bulkhead Line  and on the east by an irregular shifting line (refer to DPR Map M-RW-42-2200).",Within Inwood Hill Park,Manhattan,Shorakapock Natural Area," Meaning ""edge of the river,"" this is thought to be the original Indian name for the area of Indian habitation in what is now Washington Heights and Inwood.  According to the City Council Proceedings ""the restoration of the original name of this large area of inwood Hill Park will acknowledge the historical Native American presence in this area of Manhattan."""
At the intersection of Nagle Street and Ellwood Street,None,Manhattan,Sidney Offerman Way," Sidney Offerman joined the Board of Directors of the YMHA of Washington Heights in 1945. He was instrumental in the building the Y?s new building when the YMHA of Inwood merged with the YMHA of Washington Heights to become the YM & YWHA of Washington Heights and Inwood in 1956.  He served as president of the newly created Y until his death in 1975.  He was the owner of Amsterdam Color Works in the Bronx, and an active board member of many charities. The Y will celebrate its 100th year in 2017. (Rodriquez)

"
Southeast corner of Sixth Avenue and West 17th Street.,None,Manhattan,Sister Mary Irene Fitzgibbon Corner," Sister Mary Irene Fitzgibbon (1823-1896), born in England, came to New York as a child and in 1850 joined the Sisters of Charity.  In 1869, with two other sisters, she established the New York Founding Hospital in a rented house at 17 East 12th Street.  In 1881 it expanded to to include a separate maternity hospital and adoption services.  ""The Foundling,"" now located at this corner, cares for 9,000 childrena and families each year."
Between Tenth and Eleventh Avenues.,West 17th Street,Manhattan,"Special Agent Everett E, Hatcher Place"," Everett E. Hatcher (1942-1989) grew up in New York City.  In the US Army in Germany, he was a Deputy Provost Marshall in Germany.  Returning to New York in 1975, he taught in city schools and was an investigator for the Manhattan DA office.  In 1977 he joined the Drug Enforcement Agency.  On February 28, 1989 Special Agent Hatcher was shot and killed during an investigation on Staten Island.  At the time, this block was the location of the the DEA's New York Regional Office.."
Between Madison Avenue and Park Avenue,East 126th Street,Manhattan,St. James Place, This co-naming honors St. James Church which was opened in 1859. (Dickens)
Between Old Broadway and Amsterdam Avenue.,West 126th Street,Manhattan,St. Mary’s Place," St. Mary's Protestant Episcopal Church, on the north side of 126th Street, was founded in 1820. Its first building was a frame structure built about 1825.  It was demolished in 1908 and the present church erected in 1909.  Parts of the orginal rectory were converted to become part of the present parish house.  The Sunday School building, located behind and linked to the church, was built in 1890."
Between St. Nicholas Avenue and Wadsorth Avenue,West 180th Street,Manhattan,Staff Sgt. Riayan Agusto Tejeda Street," Riayan Agusto Tejeda (1976-2002) was born in the Dominican Republic and came to the U.S. in 1989.  Upon graduating from the Fashion Industries H. S., he joined the U.S. Navy and later transferred to the Marine Corps. Staff Sgt. Tejeda was killed on November 6, 2002 after a confrontation with an Iraqi battalion in central Baghdad.  "
At the southeast corner of 43rd Street and 10th Avenue,None,Manhattan,Stan Brooks Way," Bronx-born  Stan Brooks (1927-2013) was a Senior Correspondent for 1010 WINS News Radio.   He worked as a reporter and editor for Newsday for 11 years before becoming Assistant News Director of WINS in 1962.  In 1965, as News Director, he led the transformation of WINS from a rock-and-roll station to the first-ever all-news radio station in the United States.  During his career, he covered the Attica Prison riot, Chappaquiddick, Vietnam War protests, civil rights demonstrations, the 1968 Democratic National Convention, and the attacks on the World Trade Center. (Johnson)"
